"y","x"
451,1180
456,1181
456,1182
456,1183
456,1184
457,1185
457,1186
456,1187
456,1188
455,1189
455,1190
452,1191
452,1192
457,1193
457,1194
461,1195
461,1196
449,1197
449,1198
445,1199
445,1200
454,1201
454,1202
463,1203
463,1204
455,1205
455,1206
449,1207
449,1208
453,1209
453,1210
455,1211
455,1212
450,1213
450,1214
450,1215
450,1216
455,1217
455,1218
457,1219
457,1220
457,1221
457,1222
452,1223
452,1224
449,1225
449,1226
454,1227
454,1228
452,1229
452,1230
447,1231
447,1232
450,1233
450,1234
450,1235
450,1236
453,1237
453,1238
450,1239
450,1240
453,1241
453,1242
453,1243
453,1244
449,1245
449,1246
448,1247
448,1248
451,1249
451,1250
451,1251
451,1252
449,1253
449,1254
453,1255
453,1256
449,1257
449,1258
449,1259
449,1260
449,1261
449,1262
452,1263
452,1264
453,1265
453,1266
450,1267
450,1268
449,1269
449,1270
450,1271
450,1272
451,1273
451,1274
449,1275
449,1276
451,1277
451,1278
455,1279
455,1280
452,1281
452,1282
446,1283
446,1284
448,1285
448,1286
454,1287
454,1288
447,1289
447,1290
442,1291
442,1292
450,1293
450,1294
452,1295
452,1296
446,1297
446,1298
451,1299
451,1300
451,1301
451,1302
448,1303
448,1304
444,1305
444,1306
442,1307
442,1308
449,1309
449,1310
451,1311
451,1312
445,1313
445,1314
449,1315
449,1316
451,1317
451,1318
445,1319
445,1320
446,1321
446,1322
451,1323
451,1324
448,1325
448,1326
445,1327
445,1328
446,1329
446,1330
446,1331
446,1332
446,1333
446,1334
449,1335
449,1336
451,1337
451,1338
445,1339
445,1340
441,1341
441,1342
449,1343
449,1344
450,1345
450,1346
443,1347
443,1348
444,1349
444,1350
451,1351
451,1352
447,1353
447,1354
443,1355
443,1356
443,1357
443,1358
446,1359
446,1360
445,1361
445,1362
443,1363
443,1364
449,1365
449,1366
450,1367
450,1368
444,1369
444,1370
442,1371
442,1372
448,1373
448,1374
443,1375
443,1376
442,1377
442,1378
444,1379
444,1380
449,1381
449,1382
445,1383
445,1384
441,1385
441,1386
444,1387
444,1388
448,1389
448,1390
442,1391
442,1392
440,1393
440,1394
445,1395
445,1396
443,1397
443,1398
